Species,Mass_ln_g,First_appearance_mya,Last_appearance_mya,Family,Order_or_higher,Limb_morphology
Merychyus arenarum,10.605,24.5,17.9,Merycoidodontidae,Artiodactyla,Unguligrade
Merychyus elegans,10.496,21.1,16.8,Merycoidodontidae,Artiodactyla,Unguligrade
Merychyus medius,11.229,14.4,13.5,Merycoidodontidae,Artiodactyla,Unguligrade
Merychyus minimus,10.11,23.8,17.7,Merycoidodontidae,Artiodactyla,Unguligrade
Merychyus novomexicanus,11.76,14.2,10.5,Merycoidodontidae,Artiodactyla,Unguligrade
Merychyus relictus,10.453,17.4,14.6,Merycoidodontidae,Artiodactyla,Unguligrade
Merychyus smithi,10.482,19.2,15.2,Merycoidodontidae,Artiodactyla,Unguligrade
Merycochoerus carrikeri,12.474,26.2,23.4,Merycoidodontidae,Artiodactyla,Unguligrade
Merycochoerus chelydra,12.436,26.2,22.7,Merycoidodontidae,Artiodactyla,Unguligrade
Merycochoerus magnus,12.728,21.2,20.9,Merycoidodontidae,Artiodactyla,Unguligrade
Merycochoerus proprius,12.099,19.7,19.4,Merycoidodontidae,Artiodactyla,Unguligrade
Merycochoerus superbus,12.522,27.9,24.2,Merycoidodontidae,Artiodactyla,Unguligrade
Merycoidodon bullatus,11.038,33.7,28.9,Merycoidodontidae,Artiodactyla,Unguligrade
Merycoidodon culbertsoni,10.861,37.6,32.9,Merycoidodontidae,Artiodactyla,Unguligrade
Merycoidodon presidioensis,9.267,37.9,36.4,Merycoidodontidae,Artiodactyla,Unguligrade
Mesoreodon chelonyx,11.526,29.9,26,Merycoidodontidae,Artiodactyla,Unguligrade
Mesoreodon minor,11.36,30.3,24.3,Merycoidodontidae,Artiodactyla,Unguligrade
Miniochoerus affinis,10.367,35.2,33,Merycoidodontidae,Artiodactyla,Protounguligrade
Miniochoerus gracilis,9.388,36.1,33.4,Merycoidodontidae,Artiodactyla,Protounguligrade
Oreodontoides oregonensis,9.998,27.8,24.3,Merycoidodontidae,Artiodactyla,Unguligrade
Phenacocoelus typus,10.646,26.2,25.8,Merycoidodontidae,Artiodactyla,Unguligrade
Sespia californica,7.844,29.9,25.2,Merycoidodontidae,Artiodactyla,Unguligrade
Ticholeptus zygomaticus,11.251,17.6,13.9,Merycoidodontidae ,Artiodactyla,Unguligrade
Blastomeryx elegans,9.502,16.7,13.2,Moschidae,Artiodactyla,Unguligrade
Blastomeryx gemmifer,9.259,14.4,13.3,Moschidae,Artiodactyla,Unguligrade
Longirostromeryx blicki,9.617,14.5,14.1,Moschidae,Artiodactyla,Unguligrade
Parablastomeryx galushi,9.76,20.9,18.1,Moschidae,Artiodactyla,Unguligrade
Eotylopus reedi,10.279,38.6,35.6,Oromerycidae,Artiodactyla,Unguligrade
Malaquiferus tourteloti,8.634,43.9,42.1,Oromerycidae,Artiodactyla,Unguligrade
Montanatylopus matthewi,11.36,36.5,36.5,Oromerycidae,Artiodactyla,Unguligrade
Oromeryx plicatus,8.921,45.3,42.5,Oromerycidae,Artiodactyla,Unguligrade
Protylopus annectens,9.523,42.6,42.5,Oromerycidae,Artiodactyla,Unguligrade
Protylopus pearsonensis,9.58,40.4,40.2,Oromerycidae,Artiodactyla,Unguligrade
Protylopus petersoni,8.733,44.8,40.8,Oromerycidae,Artiodactyla,Unguligrade
Protylopus robustus,9.466,41.8,41.2,Oromerycidae,Artiodactyla,Unguligrade
Protylopus stocki,8.733,43.6,41.2,Oromerycidae,Artiodactyla,Unguligrade
Bouromeryx americanus,10.844,17.1,14.3,Palaeomerycidae,Artiodactyla,Unguligrade
Bouromeryx milleri,10.963,17.6,17,Palaeomerycidae,Artiodactyla,Unguligrade
Bouromeryx submilleri,10.744,18,17.2,Palaeomerycidae,Artiodactyla,Unguligrade
Cranioceras unicornis,11.925,15.7,8.5,Palaeomerycidae,Artiodactyla,Unguligrade
Dromomeryx borealis,12.28,16.2,14.3,Palaeomerycidae,Artiodactyla,Unguligrade
Pediomeryx hamiltoni,12.406,9.9,9.8,Palaeomerycidae,Artiodactyla,Unguligrade
Pediomeryx hemphillensis,11.898,9.3,5.3,Palaeomerycidae,Artiodactyla,Unguligrade
Procranioceras skinneri,11.999,14.3,13.7,Palaeomerycidae,Artiodactyla,Unguligrade
Heteromeryx dispar,10.157,38.8,36.7,Protoceratidae,Artiodactyla,Unguligrade
Leptoreodon edwardsi,8.481,45.4,41.9,Protoceratidae,Artiodactyla,Unguligrade
Leptoreodon leptolophus,8.604,44.2,41.2,Protoceratidae,Artiodactyla,Unguligrade
Leptoreodon major,9.348,46.2,45.1,Protoceratidae,Artiodactyla,Unguligrade
Leptoreodon marshi,8.811,46.1,41.6,Protoceratidae,Artiodactyla,Unguligrade
Leptoreodon pusillus,7.97,46.8,40.4,Protoceratidae,Artiodactyla,Unguligrade
Leptoreodon stocki,8.684,43,40.2,Protoceratidae,Artiodactyla,Unguligrade
Leptotragulus clarki,8.149,42.6,41.5,Protoceratidae,Artiodactyla,Unguligrade
Leptotragulus medius,8.584,43.9,42,Protoceratidae,Artiodactyla,Unguligrade
Leptotragulus proavus,9.099,44.5,42.5,Protoceratidae,Artiodactyla,Unguligrade
Poabromylus golzi,9.142,42.2,42,Protoceratidae,Artiodactyla,Unguligrade
Poabromylus kayi,9.689,39.7,39.4,Protoceratidae,Artiodactyla,Unguligrade
Prosynthetoceras francisi,12.264,18.5,14.5,Protoceratidae,Artiodactyla,Unguligrade
Prosynthetoceras orthrionanus,10.411,22.7,22.7,Protoceratidae,Artiodactyla,Unguligrade
Prosynthetoceras texanus,10.902,22.7,17.2,Protoceratidae,Artiodactyla,Unguligrade
Protoceras celer,10.776,33.6,32.5,Protoceratidae,Artiodactyla,Unguligrade
Pseudoprotoceras longinaris,9.559,37.5,34.7,Protoceratidae,Artiodactyla,Unguligrade
Pseudoprotoceras minor,8.966,39.4,35.1,Protoceratidae,Artiodactyla,Unguligrade
Pseudoprotoceras semicinctus,10.475,37.9,36.8,Protoceratidae,Artiodactyla,Unguligrade
Toromeryx marginensis,9.348,44.2,40.9,Protoceratidae,Artiodactyla,Unguligrade
Cynorca occidentale,10.361,16,15.8,Tayassuidae,Artiodactyla,Unguligrade
Cynorca sociale,10.115,23.8,17.6,Tayassuidae,Artiodactyla,Unguligrade
Dyseohyus fricki,10.663,16.1,14.4,Tayassuidae,Artiodactyla,Unguligrade
Floridachoerus olseni,11.434,22.7,20.1,Tayassuidae,Artiodactyla,Unguligrade
Hesperhys pinensis,11.835,21.9,17.2,Tayassuidae,Artiodactyla,Unguligrade
Macrogenis crassigenis,10.646,12.7,11.6,Tayassuidae,Artiodactyla,Unguligrade
Mylohyus elmorei,11.713,9.4,9.3,Tayassuidae,Artiodactyla,Unguligrade
Mylohyus fossilis,11.321,1.3,0,Tayassuidae,Artiodactyla,Unguligrade
Perchoerus probus,10.578,36.6,32.9,Tayassuidae,Artiodactyla,Unguligrade
Platygonus bicalcaratus,11.444,4.2,1.7,Tayassuidae,Artiodactyla,Unguligrade
Platygonus vetus,11.249,2.4,0.2,Tayassuidae,Artiodactyla,Unguligrade
Prosthennops serus,11.199,10,6.6,Tayassuidae,Artiodactyla,Unguligrade
Simocyon primigenius,11.059,5.8,5.7,Ailuridae,Carnivora,Digitigrade
Amphicyon frendens,12.549,17.4,14.5,Amphicyonidae,Carnivora,Digitigrade
Amphicyon longiramus,11.779,20.1,15.5,Amphicyonidae,Carnivora,Digitigrade
Brachyrhynchocyon dodgei,9.527,38.1,34.7,Amphicyonidae,Carnivora,Digitigrade
Brachyrhynchocyon montanus,8.645,36.3,36.3,Amphicyonidae,Carnivora,Digitigrade
Cynelos caroniavorus,9.59,20.1,20.1,Amphicyonidae,Carnivora,Digitigrade
Cynelos sinapius,12.532,17,14.6,Amphicyonidae,Carnivora,Digitigrade
Daphoenodon notionastes,10.73,24.8,22.7,Amphicyonidae,Carnivora,Digitigrade
Daphoenodon superbus,11.23,23.3,19.8,Amphicyonidae,Carnivora,Digitigrade
Daphoenus hartshornianus,9.329,34.1,33.4,Amphicyonidae,Carnivora,Digitigrade
Daphoenus lambei,8.988,42.9,38.9,Amphicyonidae,Carnivora,Digitigrade
Daphoenus ruber,9.185,25.7,24.4,Amphicyonidae,Carnivora,Digitigrade
Daphoenus socialis,10.027,26.9,24.4,Amphicyonidae,Carnivora,Digitigrade
Daphoenus vetus,9.759,33.8,33.4,Amphicyonidae,Carnivora,Digitigrade
Drassonax harpagops,7.646,33.4,33.4,Amphicyonidae,Carnivora,Digitigrade
Ischyrocyon gidleyi,12.742,13.6,12.6,Amphicyonidae,Carnivora,Digitigrade
Pliocyon medius,12.308,14.7,14.6,Amphicyonidae,Carnivora,Digitigrade
Pliocyon robustus,12.141,14.4,14.4,Amphicyonidae,Carnivora,Digitigrade
Temnocyon altigenis,10.455,30.1,29.5,Amphicyonidae,Carnivora,Digitigrade
Temnocyon percussor,11.216,23.5,22,Amphicyonidae,Carnivora,Digitigrade
Barbourofelis fricki,12.189,7.4,7.3,Barbourofelidae,Carnivora,Digitigrade
Barbourofelis loveorum,11.837,10.3,9.6,Barbourofelidae,Carnivora,Digitigrade
Barbourofelis morrisi,11.12,11.4,10.3,Barbourofelidae,Carnivora,Digitigrade
Barbourofelis osborni,11.114,12.5,9.7,Barbourofelidae,Carnivora,Digitigrade
Barbourofelis whitfordi,10.899,12.9,11.9,Barbourofelidae,Carnivora,Digitigrade
Aelurodon asthenostylus,11.03,16.1,14.4,Canidae,Carnivora,Digitigrade
Aelurodon ferox,11.377,15.6,13.1,Canidae,Carnivora,Digitigrade
Aelurodon mcgrewi,11.079,14.1,13.9,Canidae,Carnivora,Digitigrade
Aelurodon stirtoni,11.025,14.6,13.1,Canidae,Carnivora,Digitigrade
Aelurodon taxoides,11.604,13.5,8.5,Canidae,Carnivora,Digitigrade
Alopex lagopus,8.732,0,-1,Canidae,Carnivora,Digitigrade
Archaeocyon leptodus,7.819,30.8,25.6,Canidae,Carnivora,Digitigrade
Archaeocyon pavidus,7.083,31.5,29.1,Canidae,Carnivora,Digitigrade
Borophagus diversidens,12.096,4.6,2,Canidae,Carnivora,Digitigrade
Borophagus hilli,11.69,12.3,3.8,Canidae,Carnivora,Digitigrade
Borophagus littoralis,11.241,12.4,8.1,Canidae,Carnivora,Digitigrade
Borophagus orc,10.699,9.5,9.2,Canidae,Carnivora,Digitigrade
Borophagus parvus,10.883,7.7,5.4,Canidae,Carnivora,Digitigrade
Borophagus pugnator,11.263,10,7,Canidae,Carnivora,Digitigrade
Borophagus secundus,11.342,10.2,5.3,Canidae,Carnivora,Digitigrade
Canis armbrusteri,11.727,2.6,0.2,Canidae,Carnivora,Digitigrade
Canis dirus,12.084,1,0,Canidae,Carnivora,Digitigrade
Canis edwardii,11.094,3,0.2,Canidae,Carnivora,Digitigrade
Canis ferox,10.129,8.9,8.8,Canidae,Carnivora,Digitigrade
Canis latrans,10.438,2.8,-1,Canidae,Carnivora,Digitigrade
Canis lepophagus,10.41,6.8,2.5,Canidae,Carnivora,Digitigrade
Canis lupus,11.431,0.5,-1,Canidae,Carnivora,Digitigrade
Carpocyon compressus,10.451,14.5,13.9,Canidae,Carnivora,Digitigrade
Carpocyon robustus,10.815,12.8,9.4,Canidae,Carnivora,Digitigrade
Carpocyon webbi,10.942,14.2,10.8,Canidae,Carnivora,Digitigrade
Cormocyon copei,8.521,29,23.7,Canidae,Carnivora,Digitigrade
Cormocyon haydeni,8.172,26.2,23.6,Canidae,Carnivora,Digitigrade
Cuon texanus,11.413,1.2,1.2,Canidae,Carnivora,Digitigrade
Cynarctoides acridens,7.643,23.5,15.3,Canidae,Carnivora,Digitigrade
Cynarctoides emryi,7.545,19.8,19.6,Canidae,Carnivora,Digitigrade
Cynarctoides gawnae,7.293,20.2,20.2,Canidae,Carnivora,Digitigrade
Cynarctoides harlowi,6.718,22.2,21.5,Canidae,Carnivora,Digitigrade
Cynarctoides lemur,7.225,29.6,24.7,Canidae,Carnivora,Digitigrade
Cynarctoides luskensis,7.237,22.5,21.5,Canidae,Carnivora,Digitigrade
Cynarctoides roii,6.796,28.6,26.3,Canidae,Carnivora,Digitigrade
Cynarctus crucidens,8.716,12.9,11.6,Canidae,Carnivora,Digitigrade
Cynarctus galushai,9.531,16.1,16,Canidae,Carnivora,Digitigrade
Cynarctus saxatilis,9.83,14.3,13.9,Canidae,Carnivora,Digitigrade
Cynarctus voorhiesi,9.285,13.6,13.1,Canidae,Carnivora,Digitigrade
Cynodesmus martini,10.489,28,27.9,Canidae,Carnivora,Digitigrade
Cynodesmus thooides,9.664,32.9,26.3,Canidae,Carnivora,Digitigrade
Desmocyon matthewi,9.341,20,19.1,Canidae,Carnivora,Digitigrade
Desmocyon thomsoni,9.075,23.5,19.8,Canidae,Carnivora,digitigrade
Ectopocynus antiquus,9.418,29.3,25.9,Canidae,Carnivora,digitigrade
Ectopocynus intermedius,10.351,26,25.9,Canidae,Carnivora,digitigrade
Ectopocynus simplicidens,10.836,20,19.7,Canidae,Carnivora,digitigrade
Enhydrocyon basilatus,11.118,26.2,23.4,Canidae,Carnivora,digitigrade
Enhydrocyon crassidens,10.877,26.2,23.4,Canidae,Carnivora,digitigrade
Enhydrocyon pahinsintewakpa,10.577,26.5,24.9,Canidae,Carnivora,digitigrade
Enhydrocyon stenocephalus,10.704,29,28.9,Canidae,Carnivora,digitigrade
Epicyon haydeni,12.24,14.2,6,Canidae,Carnivora,digitigrade
Epicyon saevus,11.494,14.3,6,Canidae,Carnivora,digitigrade
Eucyon davisi,9.673,7.8,4.8,Canidae,Carnivora,digitigrade
Euoplocyon brachygnathus,9.736,16.3,14.6,Canidae,Carnivora,digitigrade
Euoplocyon spissidens,9.563,20.1,20.1,Canidae,Carnivora,digitigrade
Hesperocyon coloradensis,8.55,33.4,33.4,Canidae,Carnivora,digitigrade
Hesperocyon gregarius,7.98,42.9,29.8,Canidae,Carnivora,digitigrade
Leptocyon vafer,8.544,16.3,8.3,Canidae,Carnivora,digitigrade
Leptocyon vulpinus,8.57,24.3,24.2,Canidae,Carnivora,digitigrade
Mesocyon brachyops,9.411,30.1,27.4,Canidae,Carnivora,digitigrade
Mesocyon coryphaeus,9.853,29.9,28.9,Canidae,Carnivora,digitigrade
Mesocyon temnodon,9.198,33.6,25.9,Canidae,Carnivora,digitigrade
Metatomarctus canavus,9.861,20.4,18.1,Canidae,Carnivora,digitigrade
Microtomarctus conferta,9.371,16.4,14.2,Canidae,Carnivora,digitigrade
Osbornodon fricki,11.462,17.4,14.8,Canidae,Carnivora,digitigrade
Osbornodon iamonensis,10.353,20.4,18.4,Canidae,Carnivora,digitigrade
Osbornodon renjiei,8.941,33.1,33,Canidae,Carnivora,digitigrade
Osbornodon sesnoni,9.472,29.7,28.9,Canidae,Carnivora,digitigrade
Otarocyon cooki,6.89,26.6,25.6,Canidae,Carnivora,digitigrade
Oxetocyon cuspidatus,7.313,32,31.4,Canidae,Carnivora,digitigrade
Paracynarctus kelloggi,9.577,18.9,14.5,Canidae,Carnivora,digitigrade
Paracynarctus sinclairi,9.603,16.4,14.8,Canidae,Carnivora,digitigrade
Paraenhydrocyon josephi,9.349,29.6,23.4,Canidae,Carnivora,digitigrade
Paraenhydrocyon robustus,9.603,24.3,24.2,Canidae,Carnivora,digitigrade
Paraenhydrocyon wallovianus,10.419,26.2,21.6,Canidae,Carnivora,digitigrade
Paratomarctus euthos,10.274,13.6,10.3,Canidae,Carnivora,digitigrade
Paratomarctus temerarius,9.921,18.5,13.8,Canidae,Carnivora,digitigrade
Philotrox condoni,10.152,27.9,25.5,Canidae,Carnivora,digitigrade
Phlaocyon achoros,7.671,24.8,24.7,Canidae,Carnivora,digitigrade
Phlaocyon annectens,7.907,22.2,21.4,Canidae,Carnivora,digitigrade
Phlaocyon latidens,7.716,29.6,28.9,Canidae,Carnivora,digitigrade
Phlaocyon leucosteus,8.388,22.9,18,Canidae,Carnivora,digitigrade
Phlaocyon marslandensis,8.852,20.4,19.9,Canidae,Carnivora,digitigrade
Phlaocyon minor,7.982,26.2,21.5,Canidae,Carnivora,digitigrade
Phlaocyon yatkolai,9.896,19.9,19.8,Canidae,Carnivora,digitigrade
Protepicyon raki,11.134,16.1,15,Canidae,Carnivora,digitigrade
Psalidocyon marianae,9.286,16.3,15.3,Canidae,Carnivora,digitigrade
Rhizocyon oregonensis,7.713,29.6,26.7,Canidae,Carnivora,digitigrade
Sunkahetanka geringensis,10.088,28,26.4,Canidae,Carnivora,digitigrade
Tephrocyon rurestris,10.022,14.5,14.5,Canidae,Carnivora,digitigrade
Tomarctus brevirostris,10.636,16.6,14.4,Canidae,Carnivora,digitigrade
Tomarctus hippophaga,10.287,17,14.3,Canidae,Carnivora,digitigrade
Urocyon cinereoargenteus,8.758,2.4,-1,Canidae,Carnivora,digitigrade
Vulpes stenognathus,9.022,9.7,6.6,Canidae,Carnivora,digitigrade
Vulpes velox,8.461,4,-1,Canidae,Carnivora,digitigrade
Vulpes vulpes,9.342,1.1,-1,Canidae,Carnivora,digitigrade
Adelphailurus kansensis,9.697,7.7,6.1,Felidae,Carnivora,digitigrade
Dinofelis palaeoonca,10.977,3.8,2.9,Felidae,Carnivora,digitigrade
Homotherium crusafonti,11.445,3.6,3.5,Felidae,Carnivora,digitigrade
Homotherium idahoensis,12.138,2.5,2.5,Felidae,Carnivora,digitigrade
Homotherium johnstoni,11.816,3.5,3.5,Felidae,Carnivora,digitigrade
Homotherium serum,11.368,1.1,0,Felidae,Carnivora,digitigrade
Leopardus amnicola,8.038,0.1,0.1,Felidae,Carnivora,digitigrade
Lynx proterolyncis,8.92,7,6.6,Felidae,Carnivora,digitigrade
Lynx rexroadensis,9.602,9.4,2.9,Felidae,Carnivora,digitigrade
Lynx rufus,8.481,4.4,-1,Felidae,Carnivora,digitigrade
Lynx stouti,7.779,13.8,13.8,Felidae,Carnivora,digitigrade
Machairodus coloradensis,11.879,9.2,5.6,Felidae,Carnivora,digitigrade
Megantereon hesperus,10.513,9.4,3.5,Felidae,Carnivora,digitigrade
Miracinonyx inexpectatus,10.517,2.6,0.4,Felidae,Carnivora,digitigrade
Miracinonyx studeri,10.232,4.6,0,Felidae,Carnivora,digitigrade
Nimravides galiani,11.337,12.5,9.9,Felidae,Carnivora,digitigrade
Panthera leo,11.822,1,0,Felidae,Carnivora,digitigrade
Panthera onca,11.036,1.3,-1,Felidae,Carnivora,digitigrade
Pratifelis martini,10.929,7,6.6,Felidae,Carnivora,digitigrade
Pseudaelurus aeluroides,9.617,14.3,14.3,Felidae,Carnivora,digitigrade
Pseudaelurus hibbardi,10.582,6.7,6.6,Felidae,Carnivora,digitigrade
Pseudaelurus intrepidus,9.945,14.5,8.8,Felidae,Carnivora,digitigrade
Pseudaelurus marshi,9.811,16.4,14.1,Felidae,Carnivora,digitigrade
Puma concolor,10.103,2.6,-1,Felidae,Carnivora,digitigrade
Puma lacustris,9.742,3.8,1.9,Felidae,Carnivora,digitigrade
Smilodon fatalis,11.734,1,0,Felidae,Carnivora,digitigrade
Smilodon gracilis,10.869,2.6,0.7,Felidae,Carnivora,digitigrade
Chasmaporthetes ossifragus,11.519,3.7,1.3,Hyaenidae,Carnivora,digitigrade
Conepatus leuconotus,8.582,0.3,-1,Mephitidae,Carnivora,Digitigrade
Mephitis mephitis,7.879,3.6,-1,Mephitidae,Carnivora,Digitigrade
Miacis australis,7.633,39.1,38.3,Miacidae,Carnivora,protodigitigrade
Miacis deutschi,6.494,54.9,54.8,Miacidae,Carnivora,protodigitigrade
Miacis exiguus,6.884,55.2,53.1,Miacidae,Carnivora,protodigitigrade
Miacis hookwayi,7.283,43.6,41.9,Miacidae,Carnivora,protodigitigrade
Miacis latidens,7.235,53.5,50.3,Miacidae,Carnivora,protodigitigrade
Miacis parvivorus,7.486,51.6,47.7,Miacidae,Carnivora,Protodigitigrade
Miacis petilus,6.934,53.8,53.1,Miacidae,Carnivora,Protodigitigrade
Miacis winkleri,6.173,55.4,54.9,Miacidae,Carnivora,Protodigitigrade
Miocyon scotti,9.376,46.1,42.5,Miacidae,Carnivora,Protodigitigrade
Prohesperocyon wilsoni,8.123,35.8,35.7,Miacidae,Carnivora,Protodigitigrade
Tapocyon robustus,9.467,42.6,40.1,Miacidae,Carnivora,Protodigitigrade
Uintacyon asodes,8.148,53.3,50,Miacidae,Carnivora,Protodigitigrade
Uintacyon massetericus,7.57,55.3,53.1,Miacidae,Carnivora,Protodigitigrade
Uintacyon rudis,7.103,55.9,53.5,Miacidae,Carnivora,Protodigitigrade
Vassacyon promicrodon,8.134,54.6,53.1,Miacidae,Carnivora,Protodigitigrade
Brachyprotoma obtusata,6.9,1.1,0,Musteliade,Carnivora,Digitigrade
Brachypsalis matutinus,8.946,17.4,17.4,Mustelidae,Carnivora,Digitigrade
Brachypsalis modicus,9.622,14.3,13.8,Mustelidae,Carnivora,Digitigrade
Brachypsalis pachycephalus,9.646,14.6,14.1,Mustelidae,Carnivora,Digitigrade
Buisnictis breviramus,6.099,4.2,3.3,Mustelidae,Carnivora,Digitigrade
Buisnictis coffi,6.264,6.8,3.7,Mustelidae,Carnivora,Digitigrade
Dinogale siouxensis,8.233,17.4,17.4,Mustelidae,Carnivora,Digitigrade
Enhydritherium terraenovae,10.274,9.6,8.8,Mustelidae,Carnivora,Digitigrade
Gulo gulo,10.21,0.9,-1,Mustelidae,Carnivora,Digitigrade
Hoplictis grangerensis,10.211,10.6,10.6,Mustelidae,Carnivora,Digitigrade
Leptarctus primus,8.395,15.7,13.8,Mustelidae,Carnivora,Digitigrade
Lontra canadensis,9.633,1.9,0,Mustelidae,Carnivora,Digitigrade
Lutravus halli,9.167,10,5.7,Mustelidae,Carnivora,Digitigrade
Martes americana,7.58,1.1,-1,Mustelidae,Carnivora,Digitigrade
Martes diluviana,8.656,0.9,0.5,Mustelidae,Carnivora,Digitigrade
Martinogale alveodens,6.133,6.8,5.8,Mustelidae,Carnivora,Digitigrade
Megalictis ferox,10.587,26.2,20.6,Mustelidae,Carnivora,Digitigrade
Megalictis frazieri,9.689,22.9,22.9,Mustelidae,Carnivora,Digitigrade
Miomustela madisonae,5.779,14.3,14.1,Mustelidae,Carnivora,Digitigrade
Mionictis angustidens,8.551,9.9,9.9,Mustelidae,Carnivora,Digitigrade
Mionictis letifer,8.042,15.7,15.7,Mustelidae,Carnivora,Digitigrade
Mionictis pristinus,10.42,14.3,12.7,Mustelidae,Carnivora,Digitigrade
Mustela erminea,5.49,1.1,-1,Mustelidae,Carnivora,Digitigrade
Mustela frenata,5.914,2.4,-1,Mustelidae,Carnivora,Digitigrade
Mustela meltoni,6.122,3.9,3.9,Mustelidae,Carnivora,Digitigrade
Mustela nigripes,6.76,1.1,-1,Mustelidae,Carnivora,Digitigrade
Mustela rexroadensis,5.436,5.9,2.3,Mustelidae,Carnivora,Digitigrade
Mustela vison,7.184,0.9,-1,Mustelidae,Carnivora,Digitigrade
Palaeogale dorothiae,5.788,28,26.3,Mustelidae ,Carnivora,Digitigrade
Palaeogale minuta,4.68,19.9,19.8,Mustelidae ,Carnivora,Digitigrade
Palaeogale sectoria,6.208,36.3,20.8,Mustelidae ,Carnivora,Digitigrade
Plesiogulo lindsayi,11.254,7.7,5.4,Mustelidae,Carnivora,Digitigrade
Plesiogulo marshalli,10.795,7.2,5.9,Mustelidae,Carnivora,Digitigrade
Pliogale manka,7.389,14.1,11,Mustelidae,Carnivora,Digitigrade
Plionictis ogygia,6.882,16.4,10,Mustelidae,Carnivora,Digitigrade
Plionictis oregonensis,7.472,7.8,7.8,Mustelidae,Carnivora,Digitigrade
Plionictis parviloba,8.105,14.3,14.3,Mustelidae,Carnivora,Digitigrade
Pliotaxidea nevadensis,8.319,11.8,6.5,Mustelidae,Carnivora,Digitigrade
Promartes lepidus,8.246,23.2,20.2,Mustelidae,Carnivora,Digitigrade
Satherium piscinarium,10.354,4.5,1.7,Mustelidae,Carnivora,Digitigrade
Spilogale putorius,6.917,2.4,-1,Mustelidae,Carnivora,Digitigrade
Spilogale rexroadi,6.282,4.2,3.3,Mustelidae,Carnivora,Digitigrade
Sthenictis dolichops,9.362,16.7,14.3,Mustelidae,Carnivora,Digitigrade
Sthenictis junturensis,9.004,14.3,8.3,Mustelidae,Carnivora,Digitigrade
Taxidea taxus,9.107,4.2,-1,Mustelidae,Carnivora,Digitigrade
Trigonictis cookii,8.588,4.5,1.4,Mustelidae,Carnivora,Digitigrade
Trigonictis macrodon,9.189,4.9,1.6,Mustelidae,Carnivora,Digitigrade
Eusmilus cerebralis,9.369,30.1,26.3,Nimravidae,Carnivora,Digitigrade
Hoplophoneus occidentalis,10.843,34.3,34.2,Nimravidae,Carnivora,Digitigrade
Hoplophoneus primaevus,9.85,34.6,33.6,Nimravidae,Carnivora,Digitigrade
Hoplophoneus sicarius,10.404,33.6,33.6,Nimravidae,Carnivora,Digitigrade
Nimravus brachyops,10.871,33,26.5,Nimravidae,Carnivora,digitigrade
Nimravus sectator,11.486,26.2,26.2,Nimravidae,Carnivora,digitigrade
Pogonodon eileenae,10.97,26.3,26.3,Nimravidae,Carnivora,Digitigrade
Arctonasua eurybates,10.335,8,7.9,Procyonidae,Carnivora,Plantigrade
Arctonasua floridana,10.04,9.9,9.9,Procyonidae,Carnivora,Plantigrade
Arctonasua gracilis,9.265,16.5,14.3,Procyonidae,Carnivora,Plantigrade
Arctonasua minima,9.059,16.4,16.4,Procyonidae,Carnivora,Plantigrade
Bassariscus astutus,7.445,1.1,-1,Procyonidae,Carnivora,Plantigrade
Bassariscus casei,7.19,4.2,2.6,Procyonidae,Carnivora,Plantigrade
Probassariscus antiquus,7.18,16.7,9.9,Procyonidae,Carnivora,Plantigrade
Procyon lotor,8.754,1.3,-1,Procyonidae,Carnivora,Plantigrade
Procyon rexroadensis,9.413,4.2,3.5,Procyonidae,Carnivora,Plantigrade
Protoprocyon savagei,7.648,11.9,11.9,Procyonidae,Carnivora,Plantigrade
Agriotherium schneideri,13.198,8.9,6.6,Ursidae,Carnivora,Plantigrade
Arctodus pristinus,11.736,2.6,0,Ursidae,Carnivora,Plantigrade
Hunt_ursid barbouri,11.794,13.9,11.9,Ursidae,Carnivora,Plantigrade
Indarctos nevadensis,13.241,9.2,5.7,Ursidae,Carnivora,Plantigrade
Indarctos oregonensis,13.019,7.4,5.7,Ursidae,Carnivora,Plantigrade
Parictis parvus,7.178,37.9,35.4,Ursidae,Carnivora,Plantigrade
Phoberocyon johnhenryi,12.023,20.1,20.1,Ursidae,Carnivora,Plantigrade
Plithocyon barstowensis,11.676,14.4,14.4,Ursidae,Carnivora,Plantigrade
Plithocyon ursinus,12.269,14.6,14.2,Ursidae,Carnivora,Plantigrade
Ursus abstrusus,10.627,4.9,4.4,Ursidae,Carnivora,Plantigrade
Ursus americanus,10.516,2.6,-1,Ursidae,Carnivora,Plantigrade
Bryanictis microlestes,6.266,62.1,57.5,Viverravidae,Carnivora,Digitigrade
Didymictis leptomylus,8.134,55.3,54.2,Viverravidae,Carnivora,Digitigrade
Didymictis protenus,9.076,56,52.9,Viverravidae,Carnivora,Digitigrade
Didymictis proteus,8.346,57.7,55.1,Viverravidae,Carnivora,Digitigrade
Ictidopappus mustelinus,5.606,62,62,Viverravidae,Carnivora,Digitigrade
Protictis agastor,7.721,58,57.8,Viverravidae,Carnivora,Digitigrade
Protictis haydenianus,7.833,63.3,57.3,Viverravidae,Carnivora,Digitigrade
Protictis paralus,6.08,58.5,57.8,Viverravidae,Carnivora,Digitigrade
Raphictis gausion,5.561,58.6,57.7,Viverravidae,Carnivora,Digitigrade
Simpsonictis pegus,5.684,61.8,60.5,Viverravidae,Carnivora,Digitigrade
Simpsonictis tenuis,4.671,62,60.1,Viverravidae,Carnivora,Digitigrade
