County Name,County Code,Region Name,Indicator Number,Indicator,Total Event Counts,Denominator,Denominator Note,Measure Unit,Percentage/Rate,95% CI,Data Comments,Data Years,Data Sources,Quartile,Mapping Distribution,Location
Fulton,17,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,8.6,(6.6-10.6),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,7.9 - < 8.9 : Q3,2,"(43.06014, -74.331296)"
Greene,19,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,6.8,(5.0-8.6),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 7.9 : Q1 & Q2,1,"(42.298326, -73.973376)"
Hamilton,20,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,5,(3.6-6.5),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 7.9 : Q1 & Q2,1,"(43.618468, -74.395268)"
Montgomery,27,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,7.7,(5.8-9.6),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 7.9 : Q1 & Q2,1,"(42.933637, -74.341972)"
Otsego,36,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,6.1,(4.4-7.9),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 7.9 : Q1 & Q2,1,"(42.564852, -75.060334)"
Rensselaer,38,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,9,(6.6-11.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,8.9 + : Q4,3,"(42.70098, -73.628669)"
Saratoga,41,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,9.1,(6.3-11.9),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,8.9 + : Q4,3,"(43.00894, -73.786779)"
Schenectady,42,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,7.6,(5.6-9.7),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 7.9 : Q1 & Q2,1,"(42.809233, -73.946838)"
Schoharie,43,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,8.8,(6.2-11.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,7.9 - < 8.9 : Q3,2,"(42.643426, -74.434606)"
Warren,52,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,9.3,(6.7-11.8),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,8.9 + : Q4,3,"(43.403024, -73.716044)"
Washington,53,Northeastern New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,8.9,(6.6-11.2),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,7.9 - < 8.9 : Q3,2,"(43.289513, -73.454761)"
Allegany,2,Western New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,8.5,(5.9-11.0),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,7.9 - < 8.9 : Q3,2,"(42.226801, -78.020567)"
Cattaraugus,4,Western New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,11.6,(8.3-15.0),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,8.9 + : Q4,3,"(42.224267, -78.606673)"
Chautauqua,6,Western New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,9.1,(6.9-11.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,8.9 + : Q4,3,"(42.246904, -79.315313)"
Erie,14,Western New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,7.1,(5.1-9.0),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 7.9 : Q1 & Q2,1,"(42.888143, -78.795544)"
Genesee,18,Western New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,8.4,(6.5-10.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,7.9 - < 8.9 : Q3,2,"(43.000121, -78.172679)"
Niagara,29,Western New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,10.7,(7.7-13.6),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,8.9 + : Q4,3,"(43.134634, -78.856419)"
Orleans,34,Western New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,8.9,(5.7-12.1),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,7.9 - < 8.9 : Q3,2,"(43.248394, -78.218438)"
Wyoming,56,Western New York,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,9.5,(4.1-14.9),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,8.9 + : Q4,3,"(42.723641, -78.204473)"
Cayuga,5,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9.5,(6.7-12.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(42.940095, -76.560755)"
Cortland,11,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.5,(7.9-13.2),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(42.597101, -76.143291)"
Herkimer,21,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,11.2,(8.1-14.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(43.070026, -74.994246)"
Jefferson,22,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.7,(7.9-13.5),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(44.019295, -75.898971)"
Lewis,23,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.4,(7.8-12.9),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(43.785537, -75.446296)"
Madison,25,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,7.4,(5.4-9.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.986917, -75.720031)"
Oneida,30,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.8,(6.3-11.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(43.149482, -75.361773)"
Onondaga,31,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,7.6,(5.5-9.7),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(43.065629, -76.168033)"
Oswego,35,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9.9,(7.4-12.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(43.39123, -76.31133)"
St. Lawrence,40,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.8,(8.2-13.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(44.689468, -75.242045)"
Tompkins,50,Central New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,7.4,(4.8-10.0),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.461024, -76.478784)"
Chemung,7,Finger Lakes,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,11.3,(8.5-14.0),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(42.116644, -76.812331)"
Livingston,24,Finger Lakes,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9.9,(7.6-12.2),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(42.763754, -77.765392)"
Monroe,26,Finger Lakes,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.9,(6.3-11.5),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(43.161748, -77.620143)"
Ontario,32,Finger Lakes,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,7.4,(5.5-9.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.894571, -77.252045)"
Schuyler,44,Finger Lakes,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.3,(7.5-13.1),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(42.38593, -76.872032)"
Seneca,45,Finger Lakes,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.7,(7.6-13.9),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(42.833627, -76.82753)"
Steuben,46,Finger Lakes,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,7.9,(5.4-10.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.270053, -77.324618)"
Wayne,54,Finger Lakes,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.6,(6.3-10.9),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(43.144336, -77.117995)"
Yates,57,Finger Lakes,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9,(6.6-11.5),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(42.634338, -77.078311)"
Dutchess,13,Hudson Valley,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9.7,(6.7-12.8),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(41.686216, -73.840468)"
Orange,33,Hudson Valley,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,6.9,(5.0-8.7),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(41.422459, -74.241929)"
Putnam,37,Hudson Valley,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,6.4,(4.1-8.8),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(41.41131, -73.717443)"
Rockland,39,Hudson Valley,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8,(5.8-10.1),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(41.127287, -74.017033)"
Sullivan,48,Hudson Valley,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.4,(7.2-13.6),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(41.705166, -74.711705)"
Ulster,51,Hudson Valley,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8,(5.5-10.5),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(41.848374, -74.099412)"
Westchester,55,Hudson Valley,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,7.2,(4.6-9.7),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(41.039278, -73.805386)"
Nassau,28,Nassau-Suffolk,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,5.9,(3.9-7.9),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(40.715749, -73.601185)"
Suffolk,47,Nassau-Suffolk,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9,(6.7-11.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(40.820237, -73.119032)"
Bronx,58,New York City,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,11.3,(9.5-13.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(40.85589, -73.868294)"
Kings,59,New York City,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.5,(9.1-12.1),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(40.65642, -73.950691)"
New York,60,New York City,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,6.1,(4.9-7.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(40.726966, -74.005966)"
Queens,61,New York City,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,11,(9.3-12.9),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(40.749338, -73.789673)"
Richmond,62,New York City,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.5,(6.5-11.1),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(40.566763, -74.148102)"
Broome,3,New York-Penn,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.6,(6.2-11.0),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.122015, -75.933191)"
Chenango,8,New York-Penn,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,12.1,(8.2-16.1),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(42.481798, -75.570013)"
Tioga,49,New York-Penn,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.7,(7.4-14.0),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(42.120252, -76.29595)"
New York State,999,New York State,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9,(7.8-10.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,,,
Albany,1,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.6,(6.1-11.2),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.678066, -73.814233)"
Clinton,9,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10,(7.6-12.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(44.731944, -73.548883)"
Columbia,10,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,6.6,(4.5-8.7),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.276913, -73.682168)"
Delaware,12,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.7,(6.1-11.2),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.242972, -74.997944)"
Essex,15,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.4,(7.2-13.5),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(44.166026, -73.685145)"
Franklin,16,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,11.7,(8.6-14.8),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(44.705699, -74.340621)"
Fulton,17,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8,(5.9-10.0),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(43.06014, -74.331296)"
Greene,19,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.7,(6.0-11.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.298326, -73.973376)"
Hamilton,20,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8,(5.2-10.7),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(43.618468, -74.395268)"
Montgomery,27,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,7.7,(5.6-9.9),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.933637, -74.341972)"
Otsego,36,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,6.6,(4.5-8.7),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.564852, -75.060334)"
Rensselaer,38,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9.3,(6.9-11.8),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(42.70098, -73.628669)"
Saratoga,41,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.4,(6.1-10.6),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(43.00894, -73.786779)"
Schenectady,42,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9.4,(6.7-12.1),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(42.809233, -73.946838)"
Schoharie,43,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,7.6,(5.5-9.7),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.643426, -74.434606)"
Warren,52,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9.8,(7.1-12.5),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(43.403024, -73.716044)"
Washington,53,Northeastern New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.1,(6.0-10.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(43.289513, -73.454761)"
Allegany,2,Western New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.7,(6.1-11.2),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.226801, -78.020567)"
Cattaraugus,4,Western New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.9,(7.9-13.8),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(42.224267, -78.606673)"
Chautauqua,6,Western New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,11.2,(8.1-14.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(42.246904, -79.315313)"
Erie,14,Western New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.5,(7.6-13.4),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(42.888143, -78.795544)"
Genesee,18,Western New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,13.2,(9.6-16.8),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,10.5 + : Q4,3,"(43.000121, -78.172679)"
Niagara,29,Western New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,10.2,(7.3-13.1),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,9.0 - < 10.5 : Q3,2,"(43.134634, -78.856419)"
Orleans,34,Western New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.1,(5.9-10.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(43.248394, -78.218438)"
Wyoming,56,Western New York,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,8.7,(6.3-11.0),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,0 - < 9.0 : Q1 & Q2,1,"(42.723641, -78.204473)"
Cayuga,5,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),336,485,Average annual population,Rate,23.1,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",0 - < 24.6 : Q1 & Q2,1,"(42.940095, -76.560755)"
Cortland,11,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),231,336,Average annual population,Rate,22.9,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",0 - < 24.6 : Q1 & Q2,1,"(42.597101, -76.143291)"
Herkimer,21,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),322,433,Average annual population,Rate,24.8,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",24.6 - < 25.4 : Q3,2,"(43.070026, -74.994246)"
Jefferson,22,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),1096,1479,Average annual population,Rate,24.7,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",24.6 - < 25.4 : Q3,2,"(44.019295, -75.898971)"
Lewis,23,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),173,254,Average annual population,Rate,22.7,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",0 - < 24.6 : Q1 & Q2,1,"(43.785537, -75.446296)"
Madison,25,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),315,457,Average annual population,Rate,23,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",0 - < 24.6 : Q1 & Q2,1,"(42.986917, -75.720031)"
Oneida,30,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),1203,1623,Average annual population,Rate,24.7,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",24.6 - < 25.4 : Q3,2,"(43.149482, -75.361773)"
Onondaga,31,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),2138,2959,Average annual population,Rate,24.1,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",0 - < 24.6 : Q1 & Q2,1,"(43.065629, -76.168033)"
Oswego,35,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),664,922,Average annual population,Rate,24,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",0 - < 24.6 : Q1 & Q2,1,"(43.39123, -76.31133)"
St. Lawrence,40,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),127,158,Average annual population,Rate,26.7,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",25.4 + : Q4,3,"(44.689468, -75.242045)"
Tompkins,50,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),296,439,Average annual population,Rate,22.5,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",0 - < 24.6 : Q1 & Q2,1,"(42.461024, -76.478784)"
Central New York,103,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),6901,9545,Average annual population,Rate,24.1,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Chemung,7,Finger Lakes,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),542,740,Average annual population,Rate,24.4,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",0 - < 24.6 : Q1 & Q2,1,"(42.116644, -76.812331)"
